record_id,date,category_id,sub_category,amount_usd,description
REC-EXP-000001,2026-01-01,EXP_SELL,Chi phí vận chuyển thành phẩm,670.7,Chi phí phát sinh chi phí vận chuyển thành phẩm ngày 01/01
REC-EXP-000002,2026-01-02,EXP_SELL,Chi phí vận chuyển thành phẩm,1506.79,Chi phí phát sinh chi phí vận chuyển thành phẩm ngày 02/01
REC-EXP-000003,2026-01-03,EXP_SELL,Chi phí vận chuyển thành phẩm,1314.89,Chi phí phát sinh chi phí vận chuyển thành phẩm ngày 03/01
REC-EXP-000004,2026-01-04,EXP_SELL,Chi phí vận chuyển thành phẩm,1119.76,Chi phí phát sinh chi phí vận chuyển thành phẩm ngày 04/01
REC-EXP-000005,2026-01-05,EXP_SELL,Chi phí vận chuyển thành phẩm,639.17,Chi phí phát sinh chi phí vận chuyển thành phẩm ngày 05/01
REC-EXP-000006,2026-01-06,EXP_SELL,Chi phí vận chuyển thành phẩm,900.29,Chi phí phát sinh chi phí vận chuyển thành phẩm ngày 06/01
REC-EXP-000007,2026-01-07,EXP_SELL,Chi phí vận chuyển thành phẩm,695.81,Chi phí phát sinh chi phí vận chuyển thành phẩm ngày 07/01
REC-EXP-000008,2026-01-08,EXP_SELL,Chi phí vận chuyển thành phẩm,1632.0,Chi phí phát sinh chi phí vận chuyển thành phẩm ngày 08/01
REC-EXP-000009,2026-01-09,EXP_SELL,Chi phí vận chuyển thành phẩm,572.25,Chi phí phát sinh chi phí vận chuyển thành phẩm ngày 09/01
REC-EXP-000010,2026-01-10,EXP_SELL,Chi phí vận chuyển thành phẩm,1436.25,Chi phí phát sinh chi phí vận chuyển thành phẩm ngày 10/01
REC-EXP-000011,2026-01-11,EXP_SELL,Chi phí vận chuyển thành phẩm,800.16,Chi phí phát sinh chi phí vận chuyển thành phẩm ngày 11/01
REC-EXP-000012,2026-01-12,EXP_SELL,Chi phí vận chuyển thành phẩm,1406.1,Chi phí phát sinh chi phí vận chuyển thành phẩm ngày 12/01
REC-EXP-000013,2026-01-13,EXP_SELL,Chi phí vận chuyển thành phẩm,1601.38,Chi phí phát sinh chi phí vận chuyển thành phẩm ngày 13/01
REC-EXP-000014,2026-01-14,EXP_SELL,Chi phí vận chuyển thành phẩm,735.38,Chi phí phát sinh chi phí vận chuyển thành phẩm ngày 14/01
REC-EXP-000015,2026-01-15,EXP_SELL,Chi phí vận chuyển thành phẩm,760.62,Chi phí phát sinh chi phí vận chuyển thành phẩm ngày 15/01
