order_id,product_code,product_name,category,qty,price,total_amount
DH-20260084,BCN-TB-09,Bàn console trang trí BCN,Bàn gỗ,10,55.69,556.9
DH-20260091,ATLA-TB-03,Bàn làm việc thông minh ATLA,Bàn gỗ,10,68.26,682.6
DH-20260091,BCF-TB-07,Bàn cafe gỗ thông pallet BCF,Bàn gỗ,1,16.98,16.98
DH-20260091,KCH-DC-05,Kệ cắm hoa decor phòng khách KCH,Đồ trang trí,10,8.08,80.8
DH-20260108,ATLA-TB-03,Bàn làm việc thông minh ATLA,Bàn gỗ,2,71.68,143.36
DH-20260108,DDS-DC-10,Đèn đứng đọc sách vintage DDS,Đồ trang trí,5,18.77,93.85
DH-20260189,GBD-CH-04,Ghế băng dài phòng chờ GBD,Ghế gỗ,2,43.47,86.94
DH-20260189,BTN-TB-10,Bàn trà Nhật bệt gỗ xoan BTN,Bàn gỗ,1,23.71,23.71
DH-20260287,TCV-DC-03,Tranh canvas treo phòng khách TCV,Đồ trang trí,10,11.86,118.6
DH-20260287,SFD-SF-04,Sofa đơn bọc vải nhung SFD,Sofa,2,64.85,129.7
DH-20260377,BTN-TB-10,Bàn trà Nhật bệt gỗ xoan BTN,Bàn gỗ,5,20.48,102.4
DH-20260401,DSF-SF-10,Đôn sofa bọc vải tròn DSF,Sofa,5,11.32,56.6
DH-20260401,DDS-DC-10,Đèn đứng đọc sách vintage DDS,Đồ trang trí,5,18.77,93.85
DH-20260786,DNG-DC-04,Đèn ngủ thân gỗ đế tròn DNG,Đồ trang trí,10,16.98,169.8
DH-20260895,ATLA-TB-03,Bàn làm việc thông minh ATLA,Bàn gỗ,5,64.85,324.25
DH-20260895,TG-KB-04,Tủ giày thông minh 3 tầng TG,Tủ kệ,10,27.31,273.1
DH-20260895,GXP-CH-09,Ghế xếp gọn dã ngoại GXP,Ghế gỗ,10,12.13,121.3
DH-20260913,BHP-TB-08,Bàn họp lớn văn phòng BHP,Bàn gỗ,2,269.46,538.92
DH-20260913,SFD-SF-04,Sofa đơn bọc vải nhung SFD,Sofa,1,68.26,68.26
DH-20261255,GXV-CH-10,Ghế xoay văn phòng có tựa GXV,Ghế gỗ,1,32.43,32.43
DH-20261255,TG-KB-04,Tủ giày thông minh 3 tầng TG,Tủ kệ,2,27.31,54.62
DH-20261589,ATLA-TB-03,Bàn làm việc thông minh ATLA,Bàn gỗ,2,71.68,143.36
DH-20261623,SFB-SF-08,Sofa bench đệm giả da SFB,Sofa,1,47.43,47.43
DH-20261804,ATLA-TB-03,Bàn làm việc thông minh ATLA,Bàn gỗ,1,75.09,75.09
DH-20261869,KHG-DC-07,Khay gỗ đựng trà bánh đa năng KHG,Đồ trang trí,10,6.92,69.2
DH-20261869,GTR-DC-08,Giá treo quần áo chữ A GTR,Đồ trang trí,5,11.68,58.4
DH-20261869,KTT-KB-07,Kệ trang trí khung sắt đợt gỗ KTT,Tủ kệ,1,22.63,22.63
DH-20262011,GDO-CH-07,Ghế đôn tròn gỗ tự nhiên GDO,Ghế gỗ,2,7.54,15.08
DH-20262238,DSF-SF-10,Đôn sofa bọc vải tròn DSF,Sofa,1,12.57,12.57
DH-20262238,GLV-CH-06,Ghế làm việc công thái học GLV,Ghế gỗ,1,49.4,49.4
DH-20262238,GTR-DC-08,Giá treo quần áo chữ A GTR,Đồ trang trí,10,11.09,110.9
DH-20262448,SFB-SF-02,Sofa băng da bò thật Luxury SFB,Sofa,1,452.69,452.69
DH-20262903,BCF-TB-07,Bàn cafe gỗ thông pallet BCF,Bàn gỗ,1,15.36,15.36
DH-20262903,KTT-KB-07,Kệ trang trí khung sắt đợt gỗ KTT,Tủ kệ,2,22.63,45.26
DH-20263083,TTL-KB-09,Tủ tài liệu văn phòng nhiều ngăn TTL,Tủ kệ,5,54.97,274.85
DH-20263083,TG-KB-04,Tủ giày thông minh 3 tầng TG,Tủ kệ,2,30.18,60.36
DH-20263111,ACVD-TB-01,Bàn ăn gỗ sồi Mỹ ACVD,Bàn gỗ,5,110.93,554.65
DH-20263111,GLV-CH-06,Ghế làm việc công thái học GLV,Ghế gỗ,10,49.4,494.0
DH-20263870,BCF-TB-07,Bàn cafe gỗ thông pallet BCF,Bàn gỗ,1,14.55,14.55
DH-20263870,ACVD-TB-01,Bàn ăn gỗ sồi Mỹ ACVD,Bàn gỗ,5,128.44,642.2
DH-20263870,GLC-CH-02,Ghế tựa lưng cong Luxury GLC,Ghế gỗ,2,25.6,51.2
DH-20264042,SFB-SF-08,Sofa bench đệm giả da SFB,Sofa,2,38.8,77.6
DH-20264042,GLC-CH-02,Ghế tựa lưng cong Luxury GLC,Ghế gỗ,1,26.95,26.95
DH-20264042,TCV-DC-03,Tranh canvas treo phòng khách TCV,Đồ trang trí,20,11.32,226.4
DH-20264104,SFN-SF-09,Sofa nỉ văng tân cổ điển SFN,Sofa,5,332.34,1661.7
DH-20264242,KTV-KB-02,Kệ tivi phòng khách sồi KTV,Tủ kệ,10,82.99,829.9
DH-20264242,SFK-SF-06,Sofa phòng khách gỗ sồi SFK,Sofa,10,326.05,3260.5
DH-20264693,SFB-SF-02,Sofa băng da bò thật Luxury SFB,Sofa,10,502.99,5029.9
DH-20264693,BHP-TB-08,Bàn họp lớn văn phòng BHP,Bàn gỗ,2,282.93,565.86
DH-20264693,BCN-TB-09,Bàn console trang trí BCN,Bàn gỗ,2,61.26,122.52
DH-20264956,ATLA-TB-03,Bàn làm việc thông minh ATLA,Bàn gỗ,5,68.26,341.3
DH-20265077,MOGA-TB-06,Bàn ăn tròn xoay Mộc Gia,Bàn gỗ,1,160.33,160.33
DH-20265212,GLH-SF-07,Ghế lười hạt xốp cao cấp GLH,Sofa,1,15.36,15.36
DH-20265212,TDG-KB-08,Tủ đầu giường 2 ngăn kéo TDG,Tủ kệ,1,13.65,13.65
DH-20265547,BHS-TB-05,Bàn học sinh chống gù BHS,Bàn gỗ,5,30.72,153.6
DH-20265547,DNG-DC-04,Đèn ngủ thân gỗ đế tròn DNG,Đồ trang trí,5,16.17,80.85
DH-20265562,GBR-CH-03,Ghế bar chân sắt đệm gỗ GBR,Ghế gỗ,1,13.74,13.74
DH-20265562,GBB-CH-05,Ghế bập bênh thư giãn GBB,Ghế gỗ,10,51.74,517.4
DH-20265616,BCF-TB-07,Bàn cafe gỗ thông pallet BCF,Bàn gỗ,10,15.36,153.6
DH-20265616,TDG-KB-08,Tủ đầu giường 2 ngăn kéo TDG,Tủ kệ,5,12.93,64.65
DH-20265616,GAC-CH-01,Ghế ăn mộc gỗ cao su GAC,Ghế gỗ,1,10.78,10.78
DH-20265643,BTN-TB-10,Bàn trà Nhật bệt gỗ xoan BTN,Bàn gỗ,5,22.63,113.15
DH-20265643,DDS-DC-10,Đèn đứng đọc sách vintage DDS,Đồ trang trí,10,20.75,207.5
DH-20265643,FOLD-TB-02,Bàn trà sồi chân sắt FOLD,Bàn gỗ,10,41.5,415.0
