order_id,date,customer_name,status
DH-20260084,2026-01-01,Nội thất Thông minh SmartHome,Completed
DH-20260091,2026-01-01,Nội thất Nhà Xinh Sài Gòn,Completed
DH-20260108,2026-01-01,Kiến trúc & Nội thất Hoàng Hoan,Pending
DH-20260189,2026-01-01,Công ty Cổ phần Địa ốc Hưng Thịnh,Completed
DH-20260287,2026-01-01,Kiến trúc & Nội thất Hoàng Hoan,Pending
DH-20260377,2026-01-01,Công ty TNHH Mỹ thuật ứng dụng Sông Hương,Completed
DH-20260401,2026-01-01,Công ty TNHH Decor & Art Hà Nội,Completed
DH-20260786,2026-01-01,Công ty Cổ phần Địa ốc Hưng Thịnh,Completed
DH-20260895,2026-01-01,Chuỗi Homestay Cát Bà Eco,Completed
DH-20260913,2026-01-01,Công ty Thiết kế Không Gian Xanh,Completed
DH-20261255,2026-01-01,Nội thất Nhà Xinh Sài Gòn,Completed
DH-20261589,2026-01-01,Công ty TNHH Decor & Art Hà Nội,Completed
DH-20261623,2026-01-01,Đại lý Xuất nhập khẩu Mộc Việt Hùng,Completed
DH-20261804,2026-01-01,Công ty TNHH Kiến trúc Nhà Việt,Pending
DH-20261869,2026-01-01,Công ty Thiết kế Không Gian Xanh,Completed
DH-20262011,2026-01-01,Đại lý Xuất khẩu Gỗ Việt,Completed
DH-20262238,2026-01-01,Đại lý Phân phối Nội thất Minh Hải,Completed
DH-20262448,2026-01-01,Công ty Cổ phần Địa ốc Hưng Thịnh,Completed
DH-20262903,2026-01-01,Kiến trúc & Nội thất Hoàng Hoan,Completed
DH-20263083,2026-01-01,Công ty Phát triển Đô thị Thăng Long,Pending
DH-20263111,2026-01-01,Tổng thầu Nội thất Trường Thành,Completed
DH-20263870,2026-01-01,Đại lý Phân phối Nội thất Minh Hải,Completed
DH-20264042,2026-01-01,Khách sạn Grand Palace Heritage,Completed
DH-20264104,2026-01-01,Công ty Cổ phần Kiến trúc Xinh,Completed
DH-20264242,2026-01-01,Tổng công ty Lâm nghiệp VinaWood,Completed
DH-20264693,2026-01-01,Homestay & Resort Hội An Green,Completed
DH-20264956,2026-01-01,Công ty Cổ phần Đầu tư Phú Mỹ,Completed
DH-20265077,2026-01-01,Đại lý Xuất nhập khẩu Mộc Việt Hùng,Completed
DH-20265212,2026-01-01,Tổng thầu Xây dựng Hòa Bình Group,Completed
DH-20265547,2026-01-01,Tổng công ty Lâm nghiệp VinaWood,Completed
DH-20265562,2026-01-01,Văn phòng Đại diện WoodTech VN,Completed
DH-20265616,2026-01-01,Homestay & Resort Hội An Green,Completed
DH-20265643,2026-01-01,Kiến trúc & Nội thất Hoàng Hoan,Completed
DH-20265777,2026-01-01,Công ty TNHH Mỹ thuật ứng dụng Sông Hương,Completed
DH-20265784,2026-01-01,Công ty TNHH Nội thất Mộc Mỹ Gia,Completed
DH-20265847,2026-01-01,Văn phòng Đại diện WoodTech VN,Completed
DH-20265856,2026-01-01,Công ty Phát triển Đô thị Thăng Long,Completed
DH-20266081,2026-01-01,Công ty TNHH Mỹ thuật ứng dụng Sông Hương,Completed
DH-20266143,2026-01-01,Tổng thầu Xây dựng Hòa Bình Group,Completed
DH-20266162,2026-01-01,Nội thất Thông minh SmartHome,Completed
DH-20266377,2026-01-01,Công ty Cổ phần Địa ốc Hưng Thịnh,Completed
DH-20266447,2026-01-01,Công ty TNHH Nội thất Mộc Mỹ Gia,Completed
DH-20266560,2026-01-01,Tổng công ty Lâm nghiệp VinaWood,Completed
DH-20266583,2026-01-01,Công ty TNHH Decor & Art Hà Nội,Completed
DH-20266636,2026-01-01,Đại lý Bán lẻ Mộc Lan,Completed
DH-20266865,2026-01-01,Khách sạn Grand Palace Heritage,Completed
DH-20267111,2026-01-01,Đại lý Phân phối Nội thất Minh Hải,Completed
DH-20267211,2026-01-01,Tổng thầu Decor Đông Dương,Completed
DH-20267249,2026-01-01,Nội thất Thông minh SmartHome,Completed
DH-20267429,2026-01-01,Công ty Thiết kế Không Gian Xanh,Completed
DH-20267510,2026-01-01,Công ty Cổ phần Decor Việt Nam,Completed
DH-20267652,2026-01-01,Công ty Cổ phần Kiến trúc Xinh,Completed
DH-20267668,2026-01-01,Công ty Phát triển Đô thị Thăng Long,Completed
DH-20267719,2026-01-01,Tổng thầu Decor Đông Dương,Completed
DH-20267793,2026-01-01,Tổng thầu Xây dựng Hòa Bình Group,Completed
DH-20267903,2026-01-01,Nội thất Nhà Xinh Sài Gòn,Completed
DH-20267910,2026-01-01,Đại lý Xuất khẩu Gỗ Việt,Completed
DH-20267930,2026-01-01,Đại lý Phân phối Nội thất Minh Hải,Completed
DH-20267975,2026-01-01,Văn phòng Đại diện WoodTech VN,Completed
DH-20268126,2026-01-01,Công ty TNHH Kiến trúc Nhà Việt,Completed
DH-20268729,2026-01-01,Công ty Thiết kế Không Gian Xanh,Completed
DH-20268856,2026-01-01,Homestay & Resort Hội An Green,Completed
DH-20268998,2026-01-01,Công ty TNHH WoodStyle Việt Nam,Completed
DH-20269019,2026-01-01,Tổng thầu Nội thất Trường Thành,Pending
DH-20269038,2026-01-01,Công ty TNHH Mỹ thuật ứng dụng Sông Hương,Pending
DH-20269069,2026-01-01,Đại lý Phân phối Nội thất Minh Hải,Completed
DH-20269102,2026-01-01,Chuỗi Homestay Cát Bà Eco,Completed
DH-20269292,2026-01-01,Công ty Phát triển Đô thị Thăng Long,Completed
DH-20269304,2026-01-01,Công ty TNHH Nội thất Mộc Mỹ Gia,Completed
DH-20269456,2026-01-01,Đại lý Bán lẻ Mộc Lan,Pending
DH-20269489,2026-01-01,Chuỗi Homestay Cát Bà Eco,Completed
DH-20269500,2026-01-01,Công ty Phát triển Đô thị Thăng Long,Completed
DH-20269656,2026-01-01,Công ty Thiết kế Đô thị Á Đông,Pending
DH-20269970,2026-01-01,Công ty TNHH WoodStyle Việt Nam,Completed
DH-20260171,2026-01-02,Khách sạn Grand Palace Heritage,Completed
DH-20260408,2026-01-02,Công ty Phát triển Đô thị Thăng Long,Completed
DH-20260572,2026-01-02,Công ty Thiết kế Không Gian Xanh,Completed
DH-20260653,2026-01-02,Đại lý Bán lẻ Mộc Lan,Completed
DH-20260727,2026-01-02,Tổng thầu Nội thất Trường Thành,Pending
DH-20260829,2026-01-02,Tổng thầu Nội thất Trường Thành,Completed
DH-20260973,2026-01-02,Công ty Cổ phần Kiến trúc Xinh,Completed
DH-20261352,2026-01-02,Tập đoàn Xây dựng & Kiến trúc An Phong,Completed
DH-20261450,2026-01-02,Công ty TNHH Mỹ thuật ứng dụng Sông Hương,Completed
DH-20261475,2026-01-02,Kiến trúc & Nội thất Hoàng Hoan,Completed
DH-20261547,2026-01-02,Công ty Thiết kế Đô thị Á Đông,Completed
DH-20261586,2026-01-02,Đại lý Bán lẻ Mộc Lan,Completed
DH-20261822,2026-01-02,Công ty Cổ phần Kiến trúc Xinh,Pending
DH-20261856,2026-01-02,Homestay & Resort Hội An Green,Completed
DH-20262225,2026-01-02,Công ty Thiết kế Không Gian Xanh,Completed
DH-20262301,2026-01-02,Tổng thầu Xây dựng Hòa Bình Group,Completed
DH-20262558,2026-01-02,Tổng thầu Nội thất Trường Thành,Completed
DH-20262665,2026-01-02,Công ty TNHH Decor & Art Hà Nội,Completed
DH-20262842,2026-01-02,Chuỗi Homestay Cát Bà Eco,Completed
DH-20262881,2026-01-02,Đại lý Xuất khẩu Gỗ Việt,Completed
DH-20262909,2026-01-02,Công ty TNHH Decor & Art Hà Nội,Completed
DH-20263077,2026-01-02,Tổng công ty Lâm nghiệp VinaWood,Completed
DH-20263215,2026-01-02,Chuỗi Homestay Cát Bà Eco,Completed
DH-20263284,2026-01-02,Công ty Thiết kế Đô thị Á Đông,Completed
DH-20263351,2026-01-02,Công ty TNHH Kiến trúc Nhà Việt,Completed
DH-20263360,2026-01-02,Tổng thầu Decor Đông Dương,Completed
DH-20263756,2026-01-02,Công ty TNHH WoodStyle Việt Nam,Completed
DH-20263888,2026-01-02,Công ty Cổ phần Địa ốc Hưng Thịnh,Completed
DH-20264364,2026-01-02,Công ty Cổ phần Đầu tư Phú Mỹ,Completed
DH-20264478,2026-01-02,Công ty TNHH Mỹ thuật ứng dụng Sông Hương,Completed
DH-20265056,2026-01-02,Tổng thầu Decor Đông Dương,Completed
DH-20265075,2026-01-02,Homestay & Resort Hội An Green,Completed
DH-20265564,2026-01-02,Công ty Cổ phần Đầu tư Phú Mỹ,Completed
DH-20265671,2026-01-02,Công ty TNHH Decor & Art Hà Nội,Completed
DH-20265732,2026-01-02,Công ty Cổ phần Mỹ Nghệ Cát Tường,Completed
DH-20266069,2026-01-02,Đại lý Xuất nhập khẩu Mộc Việt Hùng,Completed
DH-20266192,2026-01-02,Công ty Thiết kế Đô thị Á Đông,Completed
DH-20266489,2026-01-02,Tổng thầu Nội thất Trường Thành,Completed
DH-20266785,2026-01-02,Công ty Thiết kế Không Gian Xanh,Completed
DH-20266903,2026-01-02,Đại lý Xuất khẩu Gỗ Việt,Completed
DH-20267268,2026-01-02,Tổng thầu Xây dựng Hòa Bình Group,Completed
DH-20267426,2026-01-02,Chuỗi Siêu thị Nội thất Đẹp,Completed
DH-20267428,2026-01-02,Công ty TNHH WoodStyle Việt Nam,Completed
DH-20267816,2026-01-02,Khách sạn Grand Palace Heritage,Completed
DH-20267840,2026-01-02,Công ty Cổ phần Kiến trúc Xinh,Completed
DH-20267982,2026-01-02,Công ty Thiết kế Không Gian Xanh,Completed
DH-20268182,2026-01-02,Công ty TNHH Decor & Art Hà Nội,Pending
DH-20268278,2026-01-02,Công ty TNHH WoodStyle Việt Nam,Completed
DH-20268716,2026-01-02,Công ty TNHH Mỹ thuật ứng dụng Sông Hương,Pending
DH-20268921,2026-01-02,Tổng thầu Xây dựng Hòa Bình Group,Completed
DH-20269252,2026-01-02,Công ty Thiết kế Đô thị Á Đông,Completed
DH-20269278,2026-01-02,Khách sạn Grand Palace Heritage,Completed
DH-20269447,2026-01-02,Đại lý Xuất nhập khẩu Mộc Việt Hùng,Completed
DH-20269657,2026-01-02,Công ty Cổ phần Địa ốc Hưng Thịnh,Completed
DH-20269746,2026-01-02,Tổng công ty Lâm nghiệp VinaWood,Completed
DH-20260098,2026-01-03,Công ty Cổ phần Đầu tư Phú Mỹ,Pending
DH-20260363,2026-01-03,Đại lý Xuất nhập khẩu Mộc Việt Hùng,Completed
DH-20260445,2026-01-03,Công ty TNHH Decor & Art Hà Nội,Completed
DH-20260631,2026-01-03,Đại lý Xuất khẩu Gỗ Việt,Completed
DH-20260869,2026-01-03,Văn phòng Đại diện WoodTech VN,Completed
DH-20261304,2026-01-03,Nội thất Thông minh SmartHome,Completed
DH-20261374,2026-01-03,Tập đoàn Xây dựng & Kiến trúc An Phong,Completed
DH-20261600,2026-01-03,Công ty TNHH Nội thất Mộc Mỹ Gia,Completed
DH-20261675,2026-01-03,Công ty Cổ phần Kiến trúc Xinh,Completed
DH-20261768,2026-01-03,Công ty TNHH WoodStyle Việt Nam,Completed
DH-20262154,2026-01-03,Công ty TNHH Nội thất Mộc Mỹ Gia,Completed
DH-20262166,2026-01-03,Công ty Phát triển Đô thị Thăng Long,Completed
DH-20262368,2026-01-03,Khách sạn Grand Palace Heritage,Completed
DH-20262489,2026-01-03,Homestay & Resort Hội An Green,Completed
DH-20262884,2026-01-03,Chuỗi Siêu thị Nội thất Đẹp,Completed
DH-20262900,2026-01-03,Công ty TNHH Nội thất Mộc Mỹ Gia,Completed
DH-20262949,2026-01-03,Công ty Phát triển Đô thị Thăng Long,Completed
DH-20263047,2026-01-03,Chuỗi Homestay Cát Bà Eco,Completed
DH-20263398,2026-01-03,Đại lý Phân phối Nội thất Minh Hải,Completed
DH-20263456,2026-01-03,Công ty Cổ phần Decor Việt Nam,Completed
DH-20263501,2026-01-03,Nội thất Thông minh SmartHome,Completed
DH-20263701,2026-01-03,Công ty Cổ phần Mỹ Nghệ Cát Tường,Completed
DH-20263839,2026-01-03,Công ty Cổ phần Mỹ Nghệ Cát Tường,Pending
DH-20263924,2026-01-03,Công ty TNHH WoodStyle Việt Nam,Completed
DH-20263975,2026-01-03,Công ty Cổ phần Kiến trúc Xinh,Completed
DH-20264173,2026-01-03,Công ty Cổ phần Mỹ Nghệ Cát Tường,Completed
DH-20264210,2026-01-03,Công ty TNHH Mỹ thuật ứng dụng Sông Hương,Pending
DH-20264298,2026-01-03,Công ty Phát triển Đô thị Thăng Long,Completed
DH-20264342,2026-01-03,Tổng thầu Nội thất Trường Thành,Completed
DH-20265096,2026-01-03,Công ty Thiết kế Không Gian Xanh,Completed
DH-20265324,2026-01-03,Nội thất Nhà Xinh Sài Gòn,Completed
DH-20265417,2026-01-03,Công ty Cổ phần Kiến trúc Xinh,Completed
DH-20265444,2026-01-03,Tập đoàn Xây dựng & Kiến trúc An Phong,Completed
DH-20265494,2026-01-03,Tổng công ty Lâm nghiệp VinaWood,Pending
DH-20265597,2026-01-03,Công ty Cổ phần Đầu tư Phú Mỹ,Completed
DH-20265685,2026-01-03,Công ty TNHH Kiến trúc Nhà Việt,Completed
DH-20265740,2026-01-03,Đại lý Xuất khẩu Gỗ Việt,Completed
DH-20265793,2026-01-03,Công ty TNHH Nội thất Mộc Mỹ Gia,Completed
DH-20265807,2026-01-03,Công ty TNHH Nội thất Mộc Mỹ Gia,Completed
DH-20265811,2026-01-03,Công ty Cổ phần Kiến trúc Xinh,Completed
DH-20266097,2026-01-03,Tổng thầu Nội thất Trường Thành,Completed
DH-20266184,2026-01-03,Chuỗi Homestay Cát Bà Eco,Completed
DH-20266656,2026-01-03,Đại lý Xuất khẩu Gỗ Việt,Pending
DH-20266666,2026-01-03,Đại lý Xuất khẩu Gỗ Việt,Completed
DH-20266813,2026-01-03,Văn phòng Đại diện WoodTech VN,Pending
DH-20267480,2026-01-03,Tổng thầu Xây dựng Hòa Bình Group,Completed
DH-20267570,2026-01-03,Đại lý Phân phối Nội thất Minh Hải,Completed
DH-20267807,2026-01-03,Công ty Cổ phần Mỹ Nghệ Cát Tường,Completed
DH-20267857,2026-01-03,Công ty Cổ phần Kiến trúc Xinh,Completed
DH-20268125,2026-01-03,Kiến trúc & Nội thất Hoàng Hoan,Completed
DH-20268269,2026-01-03,Công ty Cổ phần Địa ốc Hưng Thịnh,Completed
DH-20268396,2026-01-03,Công ty Cổ phần Đầu tư Phú Mỹ,Completed
DH-20268411,2026-01-03,Công ty Phát triển Đô thị Thăng Long,Completed
DH-20268503,2026-01-03,Công ty TNHH Decor & Art Hà Nội,Completed
DH-20268655,2026-01-03,Công ty Thiết kế Đô thị Á Đông,Completed
DH-20269033,2026-01-03,Nội thất Thông minh SmartHome,Completed
DH-20269053,2026-01-03,Công ty Cổ phần Địa ốc Hưng Thịnh,Completed
DH-20269296,2026-01-03,Đại lý Xuất nhập khẩu Mộc Việt Hùng,Completed
DH-20269610,2026-01-03,Công ty TNHH Kiến trúc Nhà Việt,Completed
DH-20269641,2026-01-03,Tổng thầu Xây dựng Hòa Bình Group,Completed
DH-20269660,2026-01-03,Tổng thầu Xây dựng Hòa Bình Group,Completed
DH-20269687,2026-01-03,Công ty TNHH Nội thất Mộc Mỹ Gia,Completed
DH-20269871,2026-01-03,Công ty Cổ phần Địa ốc Hưng Thịnh,Completed
DH-20260039,2026-01-04,Đại lý Bán lẻ Mộc Lan,Completed
DH-20260469,2026-01-04,Công ty Cổ phần Địa ốc Hưng Thịnh,Completed
DH-20260585,2026-01-04,Đại lý Xuất nhập khẩu Mộc Việt Hùng,Completed
DH-20260758,2026-01-04,Công ty Cổ phần Đầu tư Phú Mỹ,Completed
DH-20260783,2026-01-04,Công ty TNHH Mỹ thuật ứng dụng Sông Hương,Completed
DH-20261221,2026-01-04,Công ty Thiết kế Đô thị Á Đông,Completed
DH-20261428,2026-01-04,Nội thất Thông minh SmartHome,Completed
DH-20261490,2026-01-04,Tổng thầu Decor Đông Dương,Completed
DH-20261712,2026-01-04,Đại lý Xuất nhập khẩu Mộc Việt Hùng,Completed
DH-20262319,2026-01-04,Nội thất Thông minh SmartHome,Completed
DH-20262446,2026-01-04,Công ty TNHH WoodStyle Việt Nam,Completed
DH-20262478,2026-01-04,Công ty Cổ phần Địa ốc Hưng Thịnh,Completed
DH-20262501,2026-01-04,Văn phòng Đại diện WoodTech VN,Completed
DH-20262940,2026-01-04,Khách sạn Grand Palace Heritage,Completed
DH-20263307,2026-01-04,Đại lý Xuất nhập khẩu Mộc Việt Hùng,Completed
DH-20263476,2026-01-04,Homestay & Resort Hội An Green,Completed
DH-20263525,2026-01-04,Nội thất Thông minh SmartHome,Completed
DH-20263530,2026-01-04,Kiến trúc & Nội thất Hoàng Hoan,Completed
DH-20263539,2026-01-04,Văn phòng Đại diện WoodTech VN,Completed
DH-20263604,2026-01-04,Công ty Cổ phần Decor Việt Nam,Completed
DH-20263667,2026-01-04,Đại lý Xuất nhập khẩu Mộc Việt Hùng,Completed
DH-20263939,2026-01-04,Công ty TNHH Nội thất Mộc Mỹ Gia,Completed
DH-20264135,2026-01-04,Công ty Cổ phần Địa ốc Hưng Thịnh,Pending
