month,customer_name,product_code,product_name,category,ton_qty,ton_vol,ton_vnd,ton_usd,nhap_qty,nhap_vol,nhap_vnd,nhap_usd,xuat_qty,xuat_vol,xuat_vnd,xuat_usd,cuoi_qty,cuoi_vol,cuoi_vnd,cuoi_usd
1,Công ty TNHH Nội thất Mộc Mỹ Gia,ACVD-TB-01,Bàn ăn gỗ sồi Mỹ ACVD,Bàn gỗ,154,23.1,430602720,17941.78,25,3.75,69903120,2912.63,17,2.55,47534160,1980.59,162,24.3,452971680,18873.82
1,Tập đoàn Xây dựng & Kiến trúc An Phong,ACVD-TB-01,Bàn ăn gỗ sồi Mỹ ACVD,Bàn gỗ,116,17.4,324349920,13514.58,19,2.85,53126400,2213.6,13,1.95,36349680,1514.57,122,18.3,341126640,14213.61
1,Tổng thầu Decor Đông Dương,ACVD-TB-01,Bàn ăn gỗ sồi Mỹ ACVD,Bàn gỗ,118,17.7,329942160,13747.59,19,2.85,53126400,2213.6,13,1.95,36349680,1514.57,124,18.6,346718880,14446.62
1,Đại lý Xuất nhập khẩu Mộc Việt Hùng,ACVD-TB-01,Bàn ăn gỗ sồi Mỹ ACVD,Bàn gỗ,133,19.95,371884080,15495.17,21,3.15,58718640,2446.61,14,2.1,39145680,1631.07,140,21.0,391457040,16310.71
1,Công ty Cổ phần Mỹ Nghệ Cát Tường,ACVD-TB-01,Bàn ăn gỗ sồi Mỹ ACVD,Bàn gỗ,105,15.75,293592720,12233.03,17,2.55,47534160,1980.59,11,1.65,30757440,1281.56,111,16.65,310369440,12932.06
1,Khách sạn Grand Palace Heritage,ACVD-TB-01,Bàn ăn gỗ sồi Mỹ ACVD,Bàn gỗ,131,19.65,366291840,15262.16,21,3.15,58718640,2446.61,14,2.1,39145680,1631.07,138,20.7,385864800,16077.7
1,Công ty Thiết kế Không Gian Xanh,ACVD-TB-01,Bàn ăn gỗ sồi Mỹ ACVD,Bàn gỗ,137,20.55,383068560,15961.19,22,3.3,61514640,2563.11,15,2.25,41941920,1747.58,144,21.6,402641280,16776.72
1,Chuỗi Siêu thị Nội thất Đẹp,ACVD-TB-01,Bàn ăn gỗ sồi Mỹ ACVD,Bàn gỗ,94,14.1,262835280,10951.47,15,2.25,41941920,1747.58,10,1.5,27961200,1165.05,99,14.85,276816000,11534.0
1,Công ty Cổ phần Đầu tư Phú Mỹ,ACVD-TB-01,Bàn ăn gỗ sồi Mỹ ACVD,Bàn gỗ,166,24.9,464156160,19339.84,27,4.05,75495360,3145.64,18,2.7,50330160,2097.09,175,26.25,489321360,20388.39
1,Nội thất Nhà Xinh Sài Gòn,ACVD-TB-01,Bàn ăn gỗ sồi Mỹ ACVD,Bàn gỗ,80,12.0,223689600,9320.4,13,1.95,36349680,1514.57,9,1.35,25165200,1048.55,84,12.6,234874080,9786.42
1,Văn phòng Đại diện WoodTech VN,ACVD-TB-01,Bàn ăn gỗ sồi Mỹ ACVD,Bàn gỗ,131,19.65,366291840,15262.16,21,3.15,58718640,2446.61,14,2.1,39145680,1631.07,138,20.7,385864800,16077.7
1,Công ty TNHH Decor & Art Hà Nội,ACVD-TB-01,Bàn ăn gỗ sồi Mỹ ACVD,Bàn gỗ,90,13.5,251650800,10485.45,14,2.1,39145680,1631.07,10,1.5,27961200,1165.05,94,14.1,262835280,10951.47
1,Công ty Phát triển Đô thị Thăng Long,ACVD-TB-01,Bàn ăn gỗ sồi Mỹ ACVD,Bàn gỗ,73,10.95,204116880,8504.87,12,1.8,33553440,1398.06,8,1.2,22368960,932.04,77,11.55,215301360,8970.89
1,Tổng công ty Lâm nghiệp VinaWood,ACVD-TB-01,Bàn ăn gỗ sồi Mỹ ACVD,Bàn gỗ,118,17.7,329942160,13747.59,19,2.85,53126400,2213.6,13,1.95,36349680,1514.57,124,18.6,346718880,14446.62
1,Công ty TNHH Kiến trúc Nhà Việt,ACVD-TB-01,Bàn ăn gỗ sồi Mỹ ACVD,Bàn gỗ,112,16.8,313165440,13048.56,18,2.7,50330160,2097.09,12,1.8,33553440,1398.06,118,17.7,329942160,13747.59
1,Đại lý Phân phối Nội thất Minh Hải,ACVD-TB-01,Bàn ăn gỗ sồi Mỹ ACVD,Bàn gỗ,137,20.55,383068560,15961.19,22,3.3,61514640,2563.11,15,2.25,41941920,1747.58,144,21.6,402641280,16776.72
1,Chuỗi Homestay Cát Bà Eco,ACVD-TB-01,Bàn ăn gỗ sồi Mỹ ACVD,Bàn gỗ,58,8.7,162174960,6757.29,9,1.35,25165200,1048.55,6,0.9,16776720,699.03,61,9.15,170563440,7106.81
1,Công ty Cổ phần Địa ốc Hưng Thịnh,ACVD-TB-01,Bàn ăn gỗ sồi Mỹ ACVD,Bàn gỗ,56,8.4,156582720,6524.28,9,1.35,25165200,1048.55,6,0.9,16776720,699.03,59,8.85,164971200,6873.8
1,Nội thất Thông minh SmartHome,ACVD-TB-01,Bàn ăn gỗ sồi Mỹ ACVD,Bàn gỗ,133,19.95,371884080,15495.17,21,3.15,58718640,2446.61,14,2.1,39145680,1631.07,140,21.0,391457040,16310.71
1,Công ty TNHH WoodStyle Việt Nam,ACVD-TB-01,Bàn ăn gỗ sồi Mỹ ACVD,Bàn gỗ,141,21.15,394253040,16427.21,23,3.45,64310880,2679.62,15,2.25,41941920,1747.58,149,22.35,416622000,17359.25
1,Kiến trúc & Nội thất Hoàng Hoan,ACVD-TB-01,Bàn ăn gỗ sồi Mỹ ACVD,Bàn gỗ,88,13.2,246058560,10252.44,14,2.1,39145680,1631.07,9,1.35,25165200,1048.55,93,13.95,260039040,10834.96
1,Công ty Thiết kế Đô thị Á Đông,ACVD-TB-01,Bàn ăn gỗ sồi Mỹ ACVD,Bàn gỗ,103,15.45,288000480,12000.02,17,2.55,47534160,1980.59,11,1.65,30757440,1281.56,109,16.35,304777200,12699.05
1,Tổng thầu Xây dựng Hòa Bình Group,ACVD-TB-01,Bàn ăn gỗ sồi Mỹ ACVD,Bàn gỗ,88,13.2,246058560,10252.44,14,2.1,39145680,1631.07,9,1.35,25165200,1048.55,93,13.95,260039040,10834.96
1,Công ty Cổ phần Kiến trúc Xinh,ACVD-TB-01,Bàn ăn gỗ sồi Mỹ ACVD,Bàn gỗ,154,23.1,430602720,17941.78,25,3.75,69903120,2912.63,17,2.55,47534160,1980.59,162,24.3,452971680,18873.82
1,Đại lý Bán lẻ Mộc Lan,ACVD-TB-01,Bàn ăn gỗ sồi Mỹ ACVD,Bàn gỗ,105,15.75,293592720,12233.03,17,2.55,47534160,1980.59,11,1.65,30757440,1281.56,111,16.65,310369440,12932.06
1,Homestay & Resort Hội An Green,ACVD-TB-01,Bàn ăn gỗ sồi Mỹ ACVD,Bàn gỗ,65,9.75,181747920,7572.83,10,1.5,27961200,1165.05,7,1.05,19572960,815.54,68,10.2,190136160,7922.34
1,Công ty TNHH Mỹ thuật ứng dụng Sông Hương,ACVD-TB-01,Bàn ăn gỗ sồi Mỹ ACVD,Bàn gỗ,118,17.7,329942160,13747.59,19,2.85,53126400,2213.6,13,1.95,36349680,1514.57,124,18.6,346718880,14446.62
1,Công ty Cổ phần Decor Việt Nam,ACVD-TB-01,Bàn ăn gỗ sồi Mỹ ACVD,Bàn gỗ,183,27.45,511690080,21320.42,29,4.35,81087600,3378.65,20,3.0,55922400,2330.1,192,28.8,536855280,22368.97
1,Tổng thầu Nội thất Trường Thành,ACVD-TB-01,Bàn ăn gỗ sồi Mỹ ACVD,Bàn gỗ,114,17.1,318757680,13281.57,18,2.7,50330160,2097.09,12,1.8,33553440,1398.06,120,18.0,335534400,13980.6
1,Đại lý Xuất khẩu Gỗ Việt,ACVD-TB-01,Bàn ăn gỗ sồi Mỹ ACVD,Bàn gỗ,122,18.3,341126640,14213.61,20,3.0,55922400,2330.1,13,1.95,36349680,1514.57,129,19.35,360699360,15029.14
1,Công ty TNHH Nội thất Mộc Mỹ Gia,ATLA-TB-03,Bàn làm việc thông minh ATLA,Bàn gỗ,75,11.25,123499200,5145.8,18,2.7,29639760,1234.99,13,1.95,21406560,891.94,80,12.0,131732400,5488.85
1,Tập đoàn Xây dựng & Kiến trúc An Phong,ATLA-TB-03,Bàn làm việc thông minh ATLA,Bàn gỗ,92,13.8,151492560,6312.19,21,3.15,34579920,1440.83,15,2.25,24699840,1029.16,98,14.7,161372640,6723.86
1,Tổng thầu Decor Đông Dương,ATLA-TB-03,Bàn làm việc thông minh ATLA,Bàn gỗ,124,18.6,204185520,8507.73,29,4.35,47753040,1989.71,21,3.15,34579920,1440.83,132,19.8,217358640,9056.61
