voucher_id,item_code,item_name,unit,quantity,value_usd,days_in_stock
PK-20260147,DG-BB-016,Nhãn mác sản phẩm Loại lớn,cuộn,106.66,697.03,128
PK-20260147,DG-BB-013,Dây đai đóng đai Loại lớn,cuộn,385.72,1061.83,20
PK-20260147,DG-BB-009,Băng keo dán thùng Loại trung,cuộn,435.27,1704.62,133
PK-20260927,HC-VP-012,Sổ ghi chép công việc Ram,ram,471.03,6433.24,60
PK-20261001,VT-PK-022,Ray trượt hộc tủ Cỡ 1,cái,38.09,481.49,27
PK-20261040,HC-VP-007,Bút bi Thiên Long Hộp,ram,403.46,4567.49,92
PK-20261040,HC-VP-019,Khẩu trang y tế Hộp,ram,330.41,1136.96,81
PK-20261069,HH-SP-013,Thảm trải sàn nỉ Cỡ A,bộ,88.06,1416.41,26
PK-20261241,GO-NL-013,Gỗ gõ đỏ Nam Phi dày 20mm,m3,316.79,2406.06,43
PK-20261493,GO-NL-018,Gỗ gõ đỏ Nam Phi cỡ nhỏ,m3,53.12,969.76,110
PK-20261493,GO-NL-001,Gỗ óc chó Mỹ dày 20mm,m3,393.53,6948.94,72
PK-20261544,GO-NL-032,Gỗ xoan đào Gia Lai dày 30mm,m3,406.71,5838.31,47
PK-20261666,HH-SP-017,Đệm ghế sofa Cỡ B,bộ,186.45,586.16,76
PK-20261666,HH-SP-013,Thảm trải sàn nỉ Cỡ A,bộ,264.83,2715.01,102
PK-20261666,HH-SP-011,Tay nâng tủ Blum Cỡ B,bộ,50.29,485.26,106
PK-20261784,VT-PK-003,Bản lề hơi giảm chấn Cỡ 3,cái,144.13,2853.17,94
PK-20261784,VT-PK-015,Chốt gỗ liên kết Cỡ 3,cái,385.95,3665.27,54
PK-20261784,VT-PK-015,Chốt gỗ liên kết Cỡ 3,cái,212.47,3701.81,22
PK-20261881,TP_DDS-DC-10,Đèn đứng đọc sách vintage DDS,bộ,125.88,1293.81,145
PK-20261929,TP_GAC-CH-01,Ghế ăn mộc gỗ cao su GAC,bộ,249.08,3070.09,84
PK-20261929,TP_GBD-CH-04,Ghế băng dài phòng chờ GBD,bộ,153.65,1377.44,19
PK-20261929,TP_BHS-TB-05,Bàn học sinh chống gù BHS,bộ,193.97,3015.52,34
PK-20262074,TP_KSD-KB-03,Kệ sách đứng gỗ cao su KSD,bộ,456.55,7588.67,98
PK-20262100,VT-PK-006,Ray trượt ngăn kéo âm Cỡ 3,cái,137.85,1412.19,149
PK-20262286,HH-SP-008,Đèn led dây trang trí Cỡ B,bộ,33.07,554.95,107
PK-20262286,HH-SP-003,Bản lề hơi DTC Cỡ C,bộ,127.11,2027.85,141
PK-20262286,HH-SP-012,Tay nâng tủ Blum Cỡ C,bộ,109.99,1906.13,61
PK-20262312,DG-BB-020,Góc xốp chống va đập Loại nhỏ,cuộn,314.13,1801.02,17
PK-20262312,DG-BB-001,Thùng carton 5 lớp Loại lớn,cuộn,448.49,4745.68,42
PK-20262548,HC-VP-016,Nước rửa tay sát khuẩn Hộp,ram,255.72,3671.59,19
PK-20262548,HC-VP-015,Kẹp tài liệu sắt Ram,ram,208.6,1568.4,129
PK-20262548,HC-VP-012,Sổ ghi chép công việc Ram,ram,254.12,4430.24,71
PK-20262708,HC-VP-018,Nước rửa tay sát khuẩn Ram,ram,274.58,3456.22,65
PK-20263443,TP_GLH-SF-07,Ghế lười hạt xốp cao cấp GLH,bộ,252.87,4397.79,126
PK-20263486,VT-PK-003,Bản lề hơi giảm chấn Cỡ 3,cái,348.15,6834.73,18
PK-20263486,VT-PK-024,Ray trượt hộc tủ Cỡ 3,cái,293.07,5138.97,74
PK-20263490,GO-NL-022,Gỗ hương Lào cỡ lớn,m3,434.17,5277.56,83
PK-20263490,GO-NL-026,Gỗ thông ghép thanh dày 30mm,m3,362.28,1774.56,46
PK-20263490,GO-NL-033,Gỗ xoan đào Gia Lai dày 50mm,m3,219.15,1272.51,83
PK-20263499,TP_GXP-CH-09,Ghế xếp gọn dã ngoại GXP,bộ,32.67,249.97,103
PK-20264046,VT-PK-022,Ray trượt hộc tủ Cỡ 1,cái,315.55,1373.89,43
PK-20264048,HH-SP-004,Khóa cửa vân tay Cỡ A,bộ,494.54,2116.59,22
PK-20264048,HH-SP-013,Thảm trải sàn nỉ Cỡ A,bộ,374.58,3204.55,143
PK-20264069,DG-BB-005,Màng PE bọc hàng Loại nhỏ,cuộn,20.05,334.44,49
PK-20264069,DG-BB-016,Nhãn mác sản phẩm Loại lớn,cuộn,420.05,1808.0,61
PK-20264543,SM-HC-017,Dầu lau gỗ chống trầy Thùng 5L,Kg,79.23,1249.01,127
PK-20264543,SM-HC-002,Sơn lót NC Thùng 20L,Kg,96.88,1449.6,23
PK-20264578,VT-PK-016,Đinh vít thép không gỉ Cỡ 1,cái,187.87,828.7,114
PK-20264578,VT-PK-018,Đinh vít thép không gỉ Cỡ 3,cái,167.39,2227.4,23
PK-20264578,VT-PK-022,Ray trượt hộc tủ Cỡ 1,cái,86.83,1275.24,121
PK-20264772,VT-PK-003,Bản lề hơi giảm chấn Cỡ 3,cái,368.55,879.77,135
PK-20264772,VT-PK-020,Tay nâng cánh tủ Cỡ 2,cái,160.14,1202.07,150
PK-20264772,VT-PK-002,Bản lề hơi giảm chấn Cỡ 2,cái,207.52,3062.22,20
PK-20264814,SM-HC-003,Sơn bóng PU Thùng 5L,Kg,75.03,1458.62,128
PK-20264814,SM-HC-014,Tinh màu hạt dẻ Thùng 20L,Kg,461.01,2283.53,103
PK-20264814,SM-HC-008,Tinh màu gỗ Walnut Thùng 20L,Kg,58.08,1057.42,22
PK-20265174,HC-VP-004,Mực máy in Canon Hộp,ram,340.01,1619.99,85
PK-20265174,HC-VP-013,Kẹp tài liệu sắt Hộp,ram,193.3,749.66,88
PK-20265225,HC-VP-012,Sổ ghi chép công việc Ram,ram,383.26,7145.17,123
PK-20265225,HC-VP-007,Bút bi Thiên Long Hộp,ram,135.05,1390.65,135
PK-20265389,TP_BCF-TB-07,Bàn cafe gỗ thông pallet BCF,bộ,297.25,2356.38,112
PK-20265389,TP_SFN-SF-09,Sofa nỉ văng tân cổ điển SFN,bộ,310.67,4358.79,137
PK-20265500,DG-BB-003,Thùng carton 5 lớp Loại trung,cuộn,326.92,3306.56,108
PK-20265500,DG-BB-008,Băng keo dán thùng Loại nhỏ,cuộn,211.12,595.61,46
PK-20265518,VT-PK-025,Nắp luồn dây điện Cỡ 1,cái,468.87,3178.68,135
PK-20265518,VT-PK-023,Ray trượt hộc tủ Cỡ 2,cái,85.44,1704.19,41
PK-20265946,DG-BB-019,Góc xốp chống va đập Loại lớn,cuộn,64.57,519.43,123
PK-20265946,DG-BB-013,Dây đai đóng đai Loại lớn,cuộn,426.24,1833.58,89
PK-20265946,DG-BB-017,Nhãn mác sản phẩm Loại nhỏ,cuộn,157.66,610.46,143
PK-20266115,GO-NL-030,Gỗ thông ghép thanh cỡ nhỏ,m3,26.79,376.08,138
PK-20266115,GO-NL-021,Gỗ hương Lào dày 50mm,m3,199.68,716.27,118
PK-20266115,GO-NL-034,Gỗ xoan đào Gia Lai cỡ lớn,m3,385.42,6594.07,138
PK-20266255,TP_SFN-SF-09,Sofa nỉ văng tân cổ điển SFN,bộ,227.07,1700.82,69
