order_code,factory_name,workshop_name,product_name,qty_target
LSX-TPB-1001,Nhà máy NHÀ MÁY THÀNH PHẨM A,Phân xưởng 1,Sofa băng da bò thật Luxury SFB,300
LSX-TPC-1002,Nhà máy NHÀ MÁY THÀNH PHẨM A,Phân xưởng 3,Bàn họp lớn văn phòng BHP,100
LSX-TPC-1003,Nhà máy NHÀ MÁY GIA CÔNG C,Phân xưởng 2,Gương soi toàn thân viền gỗ GST,200
LSX-TPC-1004,Nhà máy NHÀ MÁY THÀNH PHẨM A,Phân xưởng 3,Ghế ăn Windsor cổ điển GWD,500
LSX-TPB-1005,Nhà máy NHÀ MÁY THÀNH PHẨM A,Phân xưởng 2,Kệ treo tường lục giác gỗ KTG,200
LSX-TPA-1006,Nhà máy NHÀ MÁY THÀNH PHẨM A,Phân xưởng 2,Ghế tựa lưng cong Luxury GLC,500
LSX-TPB-1007,Nhà máy NHÀ MÁY CHẾ BIẾN B,Phân xưởng 2,Sofa tình yêu da bóng SFY,500
LSX-TPB-1008,Nhà máy NHÀ MÁY CHẾ BIẾN B,Phân xưởng 3,Tủ rượu âm tường gỗ mun TRA,300
LSX-TPB-1009,Nhà máy NHÀ MÁY CHẾ BIẾN B,Phân xưởng 3,Tủ bếp gỗ công nghiệp cao cấp TBP,200
LSX-TPA-1010,Nhà máy NHÀ MÁY THÀNH PHẨM A,Phân xưởng 1,Tranh canvas treo phòng khách TCV,100
LSX-TPA-1011,Nhà máy NHÀ MÁY GIA CÔNG C,Phân xưởng 2,Tranh canvas treo phòng khách TCV,500
LSX-TPB-1012,Nhà máy NHÀ MÁY CHẾ BIẾN B,Phân xưởng 2,Thảm lót sàn dệt tay họa tiết TLS,300
LSX-TPA-1013,Nhà máy NHÀ MÁY THÀNH PHẨM A,Phân xưởng 1,Kệ tivi phòng khách sồi KTV,200
LSX-TPC-1014,Nhà máy NHÀ MÁY GIA CÔNG C,Phân xưởng 1,Bàn trang điểm gương led BTD,100
LSX-TPC-1015,Nhà máy NHÀ MÁY THÀNH PHẨM A,Phân xưởng 2,Kệ tivi phòng khách sồi KTV,500
LSX-TPC-1016,Nhà máy NHÀ MÁY GIA CÔNG C,Phân xưởng 3,Ghế lười hạt xốp cao cấp GLH,300
LSX-TPC-1017,Nhà máy NHÀ MÁY THÀNH PHẨM A,Phân xưởng 3,Đèn ngủ thân gỗ đế tròn DNG,100
LSX-TPB-1018,Nhà máy NHÀ MÁY GIA CÔNG C,Phân xưởng 3,Sofa phòng khách gỗ sồi SFK,300
LSX-TPC-1019,Nhà máy NHÀ MÁY GIA CÔNG C,Phân xưởng 1,Đôn sofa bọc vải tròn DSF,500
LSX-TPB-1020,Nhà máy NHÀ MÁY CHẾ BIẾN B,Phân xưởng 2,Đôn sofa bọc vải tròn DSF,200
LSX-TPA-1021,Nhà máy NHÀ MÁY THÀNH PHẨM A,Phân xưởng 2,Kệ cắm hoa decor phòng khách KCH,500
LSX-TPC-1022,Nhà máy NHÀ MÁY CHẾ BIẾN B,Phân xưởng 1,Kệ trang trí khung sắt đợt gỗ KTT,300
LSX-TPB-1023,Nhà máy NHÀ MÁY THÀNH PHẨM A,Phân xưởng 2,Ghế ăn mộc gỗ cao su GAC,200
LSX-TPC-1024,Nhà máy NHÀ MÁY CHẾ BIẾN B,Phân xưởng 3,Ghế lười hạt xốp cao cấp GLH,200
LSX-TPB-1025,Nhà máy NHÀ MÁY THÀNH PHẨM A,Phân xưởng 2,Ghế xoay văn phòng có tựa GXV,300
LSX-TPC-1026,Nhà máy NHÀ MÁY CHẾ BIẾN B,Phân xưởng 2,Bàn cafe gỗ thông pallet BCF,300
LSX-TPB-1027,Nhà máy NHÀ MÁY GIA CÔNG C,Phân xưởng 1,Sofa góc nỉ Cozy L-Shape SFG,500
LSX-TPB-1028,Nhà máy NHÀ MÁY GIA CÔNG C,Phân xưởng 3,Sofa góc nỉ Cozy L-Shape SFG,300
LSX-TPB-1029,Nhà máy NHÀ MÁY GIA CÔNG C,Phân xưởng 3,Sofa nỉ văng tân cổ điển SFN,100
