log_id,order_code,date,stage_name,qty_actual,defect_qty,hours_run
LOG-000373,LSX-TPA-1067,2026-01-01,Cắt phôi A,191,3,9.1
LOG-000441,LSX-TPA-1079,2026-01-01,Cắt phôi A,296,7,8.5
LOG-000740,LSX-TPA-1132,2026-01-01,Cắt phôi C,100,1,7.6
LOG-001039,LSX-TPA-1186,2026-01-01,Cắt phôi B,292,4,6.6
LOG-001322,LSX-TPA-1235,2026-01-01,Cắt phôi C,101,2,7.0
LOG-001470,LSX-TPA-1261,2026-01-01,Cắt phôi C,196,4,8.4
LOG-001550,LSX-TPB-1275,2026-01-01,Cắt phôi B,302,3,9.6
LOG-001823,LSX-TPB-1323,2026-01-01,Cắt phôi C,303,5,6.6
LOG-001895,LSX-TPB-1336,2026-01-01,Cắt phôi A,194,3,6.8
LOG-002152,LSX-TPB-1382,2026-01-01,Cắt phôi B,206,4,8.3
LOG-002192,LSX-TPC-1389,2026-01-01,Cắt phôi A,297,7,9.2
LOG-002265,LSX-TPB-1402,2026-01-01,Cắt phôi C,104,0,9.4
LOG-002333,LSX-TPB-1414,2026-01-01,Cắt phôi B,99,2,8.9
LOG-000093,LSX-TPC-1017,2026-01-02,Cắt phôi A,96,2,9.0
LOG-000333,LSX-TPA-1060,2026-01-02,Cắt phôi B,514,5,6.8
LOG-000497,LSX-TPC-1089,2026-01-02,Cắt phôi B,204,1,6.6
LOG-000593,LSX-TPC-1106,2026-01-02,Cắt phôi B,202,3,8.0
LOG-000696,LSX-TPA-1124,2026-01-02,Cắt phôi C,293,7,6.1
LOG-000762,LSX-TPC-1136,2026-01-02,Cắt phôi C,516,13,8.9
LOG-001085,LSX-TPC-1194,2026-01-02,Cắt phôi A,97,0,6.1
LOG-001213,LSX-TPB-1216,2026-01-02,Cắt phôi A,208,5,7.5
LOG-001458,LSX-TPA-1259,2026-01-02,Cắt phôi B,200,1,8.8
LOG-001774,LSX-TPB-1314,2026-01-02,Cắt phôi C,310,4,8.3
LOG-001912,LSX-TPA-1339,2026-01-02,Cắt phôi A,285,5,7.8
LOG-002058,LSX-TPA-1365,2026-01-02,Cắt phôi B,104,1,7.3
LOG-002147,LSX-TPB-1381,2026-01-02,Cắt phôi C,99,0,7.4
LOG-002339,LSX-TPC-1415,2026-01-02,Cắt phôi A,310,4,7.9
LOG-002345,LSX-TPB-1416,2026-01-02,Cắt phôi B,517,15,8.7
LOG-000249,LSX-TPB-1045,2026-01-03,Cắt phôi C,516,11,6.7
LOG-000293,LSX-TPA-1053,2026-01-03,Cắt phôi C,100,2,7.0
LOG-000374,LSX-TPA-1067,2026-01-03,Chà nhám A,205,2,7.5
LOG-000442,LSX-TPA-1079,2026-01-03,Chà nhám A,308,0,7.7
LOG-000553,LSX-TPC-1099,2026-01-03,Cắt phôi A,483,2,6.7
LOG-000735,LSX-TPB-1131,2026-01-03,Cắt phôi C,196,2,6.1
LOG-000741,LSX-TPA-1132,2026-01-03,Lắp ráp C,100,0,9.0
LOG-000914,LSX-TPA-1164,2026-01-03,Cắt phôi B,207,2,8.4
LOG-001040,LSX-TPA-1186,2026-01-03,Chà nhám B,310,6,8.3
LOG-001323,LSX-TPA-1235,2026-01-03,Lắp ráp C,103,0,7.2
LOG-001344,LSX-TPC-1239,2026-01-03,Cắt phôi B,103,1,7.9
LOG-001471,LSX-TPA-1261,2026-01-03,Lắp ráp C,205,0,8.6
LOG-001551,LSX-TPB-1275,2026-01-03,Chà nhám B,297,2,9.4
LOG-001824,LSX-TPB-1323,2026-01-03,Lắp ráp C,309,1,9.8
LOG-001896,LSX-TPB-1336,2026-01-03,Chà nhám A,207,0,8.4
LOG-001941,LSX-TPA-1344,2026-01-03,Cắt phôi B,194,2,9.2
LOG-002153,LSX-TPB-1382,2026-01-03,Chà nhám B,197,0,7.5
LOG-002193,LSX-TPC-1389,2026-01-03,Chà nhám A,311,5,7.3
LOG-002203,LSX-TPA-1391,2026-01-03,Cắt phôi C,192,1,7.9
LOG-002260,LSX-TPA-1401,2026-01-03,Cắt phôi C,194,2,6.5
LOG-002266,LSX-TPB-1402,2026-01-03,Lắp ráp C,101,1,7.7
LOG-002292,LSX-TPB-1407,2026-01-03,Cắt phôi A,207,5,6.2
LOG-002334,LSX-TPB-1414,2026-01-03,Chà nhám B,99,1,6.9
LOG-000094,LSX-TPC-1017,2026-01-04,Chà nhám A,95,1,7.0
LOG-000334,LSX-TPA-1060,2026-01-04,Chà nhám B,502,14,9.3
LOG-000407,LSX-TPB-1073,2026-01-04,Cắt phôi C,301,6,6.8
LOG-000435,LSX-TPB-1078,2026-01-04,Cắt phôi B,515,9,8.6
LOG-000447,LSX-TPB-1080,2026-01-04,Cắt phôi C,102,0,7.9
LOG-000498,LSX-TPC-1089,2026-01-04,Chà nhám B,205,0,7.8
LOG-000531,LSX-TPC-1095,2026-01-04,Cắt phôi C,306,9,8.4
LOG-000594,LSX-TPC-1106,2026-01-04,Chà nhám B,197,5,8.6
LOG-000605,LSX-TPA-1108,2026-01-04,Cắt phôi A,203,2,7.5
LOG-000686,LSX-TPC-1122,2026-01-04,Cắt phôi C,100,1,9.0
LOG-000697,LSX-TPA-1124,2026-01-04,Lắp ráp C,286,0,7.8
LOG-000763,LSX-TPC-1136,2026-01-04,Lắp ráp C,484,13,7.2
LOG-000799,LSX-TPB-1143,2026-01-04,Cắt phôi A,96,1,6.8
LOG-000861,LSX-TPA-1154,2026-01-04,Cắt phôi C,305,3,6.2
LOG-000965,LSX-TPC-1173,2026-01-04,Cắt phôi B,104,1,10.0
LOG-001069,LSX-TPB-1191,2026-01-04,Cắt phôi C,288,7,6.1
LOG-001086,LSX-TPC-1194,2026-01-04,Chà nhám A,97,0,9.1
LOG-001214,LSX-TPB-1216,2026-01-04,Chà nhám A,199,2,7.2
LOG-001459,LSX-TPA-1259,2026-01-04,Chà nhám B,202,5,6.3
LOG-001538,LSX-TPA-1273,2026-01-04,Cắt phôi B,483,8,7.5
LOG-001596,LSX-TPA-1283,2026-01-04,Cắt phôi A,514,6,9.8
LOG-001682,LSX-TPA-1298,2026-01-04,Cắt phôi B,288,7,6.4
LOG-001711,LSX-TPA-1303,2026-01-04,Cắt phôi B,99,2,7.2
LOG-001775,LSX-TPB-1314,2026-01-04,Lắp ráp C,293,1,9.9
LOG-001878,LSX-TPB-1333,2026-01-04,Cắt phôi C,200,4,9.4
LOG-001883,LSX-TPC-1334,2026-01-04,Cắt phôi A,204,3,7.4
LOG-001913,LSX-TPA-1339,2026-01-04,Chà nhám A,305,1,9.9
LOG-002059,LSX-TPA-1365,2026-01-04,Chà nhám B,95,0,7.5
LOG-002076,LSX-TPC-1368,2026-01-04,Cắt phôi A,485,5,8.7
LOG-002148,LSX-TPB-1381,2026-01-04,Lắp ráp C,96,1,9.5
LOG-002214,LSX-TPA-1393,2026-01-04,Cắt phôi A,100,1,7.2
LOG-002270,LSX-TPB-1403,2026-01-04,Cắt phôi B,501,9,7.1
LOG-002298,LSX-TPB-1408,2026-01-04,Cắt phôi A,524,11,9.8
LOG-002340,LSX-TPC-1415,2026-01-04,Chà nhám A,288,5,9.7
LOG-002346,LSX-TPB-1416,2026-01-04,Chà nhám B,482,5,8.4
LOG-002362,LSX-TPB-1419,2026-01-04,Cắt phôi A,485,7,7.8
LOG-002368,LSX-TPA-1420,2026-01-04,Cắt phôi B,197,5,8.5
LOG-000071,LSX-TPA-1013,2026-01-05,Cắt phôi A,207,4,8.3
LOG-000250,LSX-TPB-1045,2026-01-05,Lắp ráp C,487,0,9.7
LOG-000294,LSX-TPA-1053,2026-01-05,Lắp ráp C,99,0,8.5
LOG-000375,LSX-TPA-1067,2026-01-05,Lắp ráp A,194,4,7.3
LOG-000443,LSX-TPA-1079,2026-01-05,Lắp ráp A,302,8,6.2
LOG-000554,LSX-TPC-1099,2026-01-05,Chà nhám A,510,0,9.5
LOG-000680,LSX-TPB-1121,2026-01-05,Cắt phôi B,299,6,6.4
LOG-000736,LSX-TPB-1131,2026-01-05,Lắp ráp C,196,3,8.4
LOG-000742,LSX-TPA-1132,2026-01-05,Sơn lót C,101,2,8.5
LOG-000777,LSX-TPC-1139,2026-01-05,Cắt phôi B,99,0,8.5
LOG-000915,LSX-TPA-1164,2026-01-05,Chà nhám B,206,3,7.7
LOG-001041,LSX-TPA-1186,2026-01-05,Lắp ráp B,291,5,8.0
LOG-001080,LSX-TPA-1193,2026-01-05,Cắt phôi C,102,1,9.8
LOG-001115,LSX-TPA-1199,2026-01-05,Cắt phôi A,201,1,7.3
LOG-001177,LSX-TPC-1210,2026-01-05,Cắt phôi B,103,1,8.8
LOG-001242,LSX-TPC-1221,2026-01-05,Cắt phôi C,204,4,7.4
LOG-001286,LSX-TPB-1229,2026-01-05,Cắt phôi B,299,3,8.1
LOG-001324,LSX-TPA-1235,2026-01-05,Sơn lót C,98,1,10.0
LOG-001345,LSX-TPC-1239,2026-01-05,Chà nhám B,104,0,8.7
LOG-001472,LSX-TPA-1261,2026-01-05,Sơn lót C,208,3,7.3
LOG-001475,LSX-TPC-1262,2026-01-05,Cắt phôi A,302,1,9.4
LOG-001552,LSX-TPB-1275,2026-01-05,Lắp ráp B,305,8,7.5
LOG-001620,LSX-TPB-1287,2026-01-05,Cắt phôi B,502,11,9.7
LOG-001626,LSX-TPB-1288,2026-01-05,Cắt phôi C,192,5,8.2
LOG-001825,LSX-TPB-1323,2026-01-05,Sơn lót C,313,4,8.2
LOG-001897,LSX-TPB-1336,2026-01-05,Lắp ráp A,201,3,7.0
LOG-001930,LSX-TPC-1342,2026-01-05,Cắt phôi A,478,0,8.8
LOG-001942,LSX-TPA-1344,2026-01-05,Chà nhám B,201,2,7.7
LOG-002082,LSX-TPA-1369,2026-01-05,Cắt phôi C,308,7,6.9
LOG-002154,LSX-TPB-1382,2026-01-05,Lắp ráp B,193,3,9.7
LOG-002181,LSX-TPA-1387,2026-01-05,Cắt phôi C,291,7,9.5
LOG-002194,LSX-TPC-1389,2026-01-05,Lắp ráp A,291,5,6.2
LOG-002204,LSX-TPA-1391,2026-01-05,Lắp ráp C,200,0,9.6
LOG-002261,LSX-TPA-1401,2026-01-05,Lắp ráp C,198,3,9.7
LOG-002267,LSX-TPB-1402,2026-01-05,Sơn lót C,101,1,7.0
LOG-002293,LSX-TPB-1407,2026-01-05,Chà nhám A,204,2,8.8
LOG-002335,LSX-TPB-1414,2026-01-05,Lắp ráp B,102,0,9.2
LOG-002351,LSX-TPA-1417,2026-01-05,Cắt phôi C,287,0,6.7
LOG-000088,LSX-TPC-1016,2026-01-06,Cắt phôi C,287,3,6.5
LOG-000095,LSX-TPC-1017,2026-01-06,Lắp ráp A,96,1,9.8
LOG-000335,LSX-TPA-1060,2026-01-06,Lắp ráp B,501,3,6.2
LOG-000408,LSX-TPB-1073,2026-01-06,Lắp ráp C,299,5,9.7
LOG-000436,LSX-TPB-1078,2026-01-06,Chà nhám B,492,6,6.2
LOG-000448,LSX-TPB-1080,2026-01-06,Lắp ráp C,95,1,6.9
LOG-000499,LSX-TPC-1089,2026-01-06,Lắp ráp B,194,2,9.1
LOG-000525,LSX-TPA-1094,2026-01-06,Cắt phôi B,195,2,9.9
LOG-000532,LSX-TPC-1095,2026-01-06,Lắp ráp C,297,7,8.1
LOG-000595,LSX-TPC-1106,2026-01-06,Lắp ráp B,193,5,6.9
LOG-000606,LSX-TPA-1108,2026-01-06,Chà nhám A,191,2,6.9
LOG-000687,LSX-TPC-1122,2026-01-06,Lắp ráp C,103,0,9.1
LOG-000698,LSX-TPA-1124,2026-01-06,Sơn lót C,306,5,8.2
LOG-000764,LSX-TPC-1136,2026-01-06,Sơn lót C,481,7,7.6
LOG-000800,LSX-TPB-1143,2026-01-06,Chà nhám A,102,0,9.1
LOG-000862,LSX-TPA-1154,2026-01-06,Lắp ráp C,302,3,8.8
LOG-000960,LSX-TPA-1172,2026-01-06,Cắt phôi C,100,1,9.0
LOG-000966,LSX-TPC-1173,2026-01-06,Chà nhám B,103,0,6.5
LOG-001070,LSX-TPB-1191,2026-01-06,Lắp ráp C,292,8,6.9
LOG-001087,LSX-TPC-1194,2026-01-06,Lắp ráp A,102,0,10.0
LOG-001215,LSX-TPB-1216,2026-01-06,Lắp ráp A,195,2,6.6
LOG-001460,LSX-TPA-1259,2026-01-06,Lắp ráp B,194,2,7.5
LOG-001539,LSX-TPA-1273,2026-01-06,Chà nhám B,511,8,7.9
LOG-001597,LSX-TPA-1283,2026-01-06,Chà nhám A,499,10,9.4
LOG-001660,LSX-TPC-1294,2026-01-06,Cắt phôi C,209,3,7.4
LOG-001683,LSX-TPA-1298,2026-01-06,Chà nhám B,293,1,9.9
LOG-001712,LSX-TPA-1303,2026-01-06,Chà nhám B,100,1,7.2
LOG-001776,LSX-TPB-1314,2026-01-06,Sơn lót C,290,5,6.5
LOG-001867,LSX-TPB-1331,2026-01-06,Cắt phôi C,96,0,8.2
LOG-001879,LSX-TPB-1333,2026-01-06,Lắp ráp C,194,3,9.0
LOG-001884,LSX-TPC-1334,2026-01-06,Chà nhám A,199,5,7.4
LOG-001914,LSX-TPA-1339,2026-01-06,Lắp ráp A,289,0,8.8
LOG-001918,LSX-TPB-1340,2026-01-06,Cắt phôi A,97,0,9.7
LOG-002060,LSX-TPA-1365,2026-01-06,Lắp ráp B,104,1,8.5
LOG-002077,LSX-TPC-1368,2026-01-06,Chà nhám A,510,12,9.8
LOG-002103,LSX-TPA-1373,2026-01-06,Cắt phôi C,191,2,7.5
LOG-002149,LSX-TPB-1381,2026-01-06,Sơn lót C,97,0,9.8
LOG-002215,LSX-TPA-1393,2026-01-06,Chà nhám A,102,1,10.0
LOG-002271,LSX-TPB-1403,2026-01-06,Chà nhám B,488,5,8.0
LOG-002299,LSX-TPB-1408,2026-01-06,Chà nhám A,520,2,6.1
LOG-002341,LSX-TPC-1415,2026-01-06,Lắp ráp A,308,2,7.3
LOG-002347,LSX-TPB-1416,2026-01-06,Lắp ráp B,521,15,7.1
LOG-002363,LSX-TPB-1419,2026-01-06,Chà nhám A,478,6,8.1
LOG-002369,LSX-TPA-1420,2026-01-06,Chà nhám B,195,2,6.8
LOG-002379,LSX-TPB-1422,2026-01-06,Cắt phôi B,100,0,9.6
