voucher_id,date,type,warehouse_id
PK-20260147,2026-01-01,nhap,dong_goi
PK-20260927,2026-01-01,nhap,hanh_chinh
PK-20261001,2026-01-01,nhap,vat_tu
PK-20261040,2026-01-01,nhap,hanh_chinh
PK-20261069,2026-01-01,nhap,hang_hoa
PK-20261241,2026-01-01,nhap,nguyen_lieu_chinh
PK-20261493,2026-01-01,nhap,nguyen_lieu_chinh
PK-20261544,2026-01-01,xuat,nguyen_lieu_chinh
PK-20261666,2026-01-01,nhap,hang_hoa
PK-20261784,2026-01-01,nhap,vat_tu
PK-20261881,2026-01-01,nhap,thanh_pham
PK-20261929,2026-01-01,nhap,thanh_pham
PK-20262074,2026-01-01,nhap,thanh_pham
PK-20262100,2026-01-01,xuat,vat_tu
PK-20262286,2026-01-01,xuat,hang_hoa
PK-20262312,2026-01-01,nhap,dong_goi
PK-20262548,2026-01-01,xuat,hanh_chinh
PK-20262708,2026-01-01,nhap,hanh_chinh
PK-20263443,2026-01-01,xuat,thanh_pham
PK-20263486,2026-01-01,xuat,vat_tu
PK-20263490,2026-01-01,xuat,nguyen_lieu_chinh
PK-20263499,2026-01-01,nhap,thanh_pham
PK-20264046,2026-01-01,nhap,vat_tu
PK-20264048,2026-01-01,xuat,hang_hoa
PK-20264069,2026-01-01,nhap,dong_goi
PK-20264543,2026-01-01,xuat,son_dau_mau
PK-20264578,2026-01-01,xuat,vat_tu
PK-20264772,2026-01-01,xuat,vat_tu
PK-20264814,2026-01-01,xuat,son_dau_mau
PK-20265174,2026-01-01,xuat,hanh_chinh
PK-20265225,2026-01-01,nhap,hanh_chinh
PK-20265389,2026-01-01,xuat,thanh_pham
PK-20265500,2026-01-01,xuat,dong_goi
PK-20265518,2026-01-01,nhap,vat_tu
PK-20265946,2026-01-01,xuat,dong_goi
PK-20266115,2026-01-01,nhap,nguyen_lieu_chinh
PK-20266255,2026-01-01,xuat,thanh_pham
PK-20266346,2026-01-01,nhap,thanh_pham
PK-20266918,2026-01-01,xuat,nguyen_lieu_chinh
PK-20267105,2026-01-01,xuat,nguyen_lieu_chinh
PK-20267281,2026-01-01,nhap,son_dau_mau
PK-20267424,2026-01-01,nhap,hanh_chinh
PK-20267598,2026-01-01,nhap,dong_goi
PK-20267910,2026-01-01,nhap,son_dau_mau
PK-20268309,2026-01-01,xuat,son_dau_mau
PK-20268412,2026-01-01,nhap,hanh_chinh
