month,warehouse_id,item_code,item_name,unit,ton_dau,nhap,xuat,ton_cuoi,days_in_stock
1,nguyen_lieu_chinh,GO-NL-013,Gỗ gõ đỏ Nam Phi dày 20mm,m3,2221.49,177.72,155.5,2243.71,36
1,nguyen_lieu_chinh,GO-NL-018,Gỗ gõ đỏ Nam Phi cỡ nhỏ,m3,252.85,20.23,17.7,255.38,104
1,nguyen_lieu_chinh,GO-NL-001,Gỗ óc chó Mỹ dày 20mm,m3,1421.63,113.73,99.51,1435.85,67
1,nguyen_lieu_chinh,GO-NL-032,Gỗ xoan đào Gia Lai dày 30mm,m3,3111.33,248.91,217.79,3142.45,43
1,nguyen_lieu_chinh,GO-NL-022,Gỗ hương Lào cỡ lớn,m3,1752.96,140.24,122.71,1770.49,80
1,nguyen_lieu_chinh,GO-NL-026,Gỗ thông ghép thanh dày 30mm,m3,1539.69,123.18,107.78,1555.09,44
1,nguyen_lieu_chinh,GO-NL-033,Gỗ xoan đào Gia Lai dày 50mm,m3,1760.32,140.83,123.22,1777.93,82
1,nguyen_lieu_chinh,GO-NL-030,Gỗ thông ghép thanh cỡ nhỏ,m3,200.39,16.03,14.03,202.39,138
1,nguyen_lieu_chinh,GO-NL-021,Gỗ hương Lào dày 50mm,m3,2732.62,218.61,191.28,2759.95,119
1,nguyen_lieu_chinh,GO-NL-034,Gỗ xoan đào Gia Lai cỡ lớn,m3,3931.28,314.5,275.19,3970.59,140
1,nguyen_lieu_chinh,GO-NL-004,Gỗ óc chó Mỹ cỡ lớn,m3,377.66,30.21,26.44,381.43,129
1,nguyen_lieu_chinh,GO-NL-023,Gỗ hương Lào cỡ trung,m3,1148.76,91.9,80.41,1160.25,23
1,nguyen_lieu_chinh,GO-NL-009,Gỗ sồi Nga dày 50mm,m3,2657.41,212.59,186.02,2683.98,116
1,nguyen_lieu_chinh,GO-NL-017,Gỗ gõ đỏ Nam Phi cỡ trung,m3,632.04,50.56,44.24,638.36,71
1,nguyen_lieu_chinh,GO-NL-011,Gỗ sồi Nga cỡ trung,m3,3684.86,294.79,257.94,3721.71,80
1,nguyen_lieu_chinh,GO-NL-015,Gỗ gõ đỏ Nam Phi dày 50mm,m3,783.38,62.67,54.84,791.21,5
1,nguyen_lieu_chinh,GO-NL-007,Gỗ sồi Nga dày 20mm,m3,1844.82,147.59,129.14,1863.27,125
1,nguyen_lieu_chinh,GO-NL-006,Gỗ óc chó Mỹ cỡ nhỏ,m3,4159.63,332.77,291.17,4201.23,8
1,nguyen_lieu_chinh,GO-NL-031,Gỗ xoan đào Gia Lai dày 20mm,m3,901.98,72.16,63.14,911.0,138
1,nguyen_lieu_chinh,GO-NL-003,Gỗ óc chó Mỹ dày 50mm,m3,2782.67,222.61,194.79,2810.49,90
1,nguyen_lieu_chinh,GO-NL-014,Gỗ gõ đỏ Nam Phi dày 30mm,m3,1229.91,98.39,86.09,1242.21,26
1,nguyen_lieu_chinh,GO-NL-028,Gỗ thông ghép thanh cỡ lớn,m3,2074.36,165.95,145.21,2095.1,18
1,nguyen_lieu_chinh,GO-NL-035,Gỗ xoan đào Gia Lai cỡ trung,m3,1120.25,89.62,78.42,1131.45,142
1,nguyen_lieu_chinh,GO-NL-016,Gỗ gõ đỏ Nam Phi cỡ lớn,m3,944.9,75.59,66.14,954.35,116
